Semester,School,Undergrad Credit Hours,Graduate Credit Hours,Total Credit Hours,Graduate Extra Credit,Grand Total Credit Hours,FTE Undergrad,FTE Graduate,FTE Total,Description,,,,,,,,,
Fall 2020,Liberal Arts & Social Sciences,47348,4925,52273,2325,54598,3157,328,3485,"This table provides the Fall 2020 summary of Student Credit Hours (SCH) and Full-Time Equivalent (FTE) enrollments at CCSU, showing how much instructional activity each school generated. Compared to earlier years, the data highlights some shifts, including the introduction of Health & Rehabilitation Sciences as a separate reporting unit.

By School (Fall 2020):

Liberal Arts & Social Sciences: Largest unit with 54,598 credit hours, translating to about 3,485 FTE students.

Business: Accounted for 16,081 credit hours and 946 FTEs.

Education: Smaller in size, generating 5,385 credit hours, or 144 FTEs.

Health & Rehabilitation Sciences: Newer category, producing 10,646 credit hours for 537 FTEs.

Engineering, Science & Technology: Significant load with 37,138 credit hours, supporting 2,288 FTEs.

Column meanings:

Undergrad / Graduate Credit Hours – credits taught at each level.

Graduate Extra Credit – adjustment that gives extra weight to graduate teaching.

Grand Total Credit Hours – sum including extra credit.

FTE Undergrad / Graduate / Total – standardized full-time equivalents (UG SCH ÷ 15, GR SCH ÷ 12).",,,,,,,,,
Fall 2020,Business,12604,1587,14191,1890,16081,840,106,946,,,,,,,,,,
Fall 2020,Education,1985,174,2159,3226,5385,132,12,144,,,,,,,,,,
Fall 2020,Health & Rehabilitation Sciences,6924,1128,8052,2594,10646,462,74,537,,,,,,,,,,
Fall 2020,"Engineering, Science & Technology",30086,4230,34316,2822,37138,2006,282,2288,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
