School/Department,FT Faculty Headcount,FT Student Credit Hr,FT Credit Hr/Faculty,FT Student Headcount,FT Student Headcount/Faculty,FT Sections Taught,PT Faculty Headcount,PT Student Credit Hr,PT Credit Hr/Faculty,PT Student Headcount,PT Student Headcount/Faculty,PT Sections Taught,% Credit Hr by FT Faculty,% Credit Hr by PT Faculty
Anthropology,5,1083,217,360,72,18,3,201,67,67,22,4,84.3%,15.7%
Art & Design,12,1785,149,581,48,53,14,773,55,262,19,20,69.8%,30.2%
Communication,11,2097,191,629,57,37,13,1624,125,517,40,22,56.4%,43.6%
Criminology & Criminal Justice,13,3088,238,954,73,36,10,677,68,219,22,10,82.0%,18.0%
Economics,7,1931,276,645,92,25,1,243,243,81,81,2,88.8%,11.2%
English,27,4848,180,1606,59,94,26,2403,92,836,32,54,66.9%,33.1%
Geography,8,1605,201,535,67,37,5,456,91,152,30,7,77.9%,22.1%
History,12,2454,205,815,68,40,9,969,108,318,35,16,71.7%,28.3%
Journalism,3,426,142,142,47,16,1,39,39,13,13,1,91.6%,8.4%
Music,7,751,107,317,45,29,17,585,34,253,15,39,56.2%,43.8%
Philosophy,5,1101,220,361,72,20,8,1247,156,408,51,14,46.9%,53.1%
Political Science,6,1208,201,396,66,30,4,270,68,90,23,4,81.7%,18.3%
Psychological Science,20,5084,254,1647,82,87,15,1471,98,525,35,24,77.6%,22.4%
Sociology,7,1663,238,509,73,27,6,551,92,167,28,6,75.1%,24.9%
Theatre,4,455,114,177,44,22,4,258,65,89,22,5,63.8%,36.2%
"World Languages, Literatures & Cultures",8,1209,151,396,50,32,10,726,73,236,24,18,62.5%,37.5%
TOTAL (CLAS),155,30788,199,10070,65,603,146,12493,86,4233,29,246,71.1%,28.9%
Accounting,13,3063,236,1021,79,39,3,192,64,64,21,3,94.1%,5.9%
Finance,9,1716,191,572,64,23,9,1119,124,373,41,14,60.5%,39.5%
Management & Organization,13,2672,206,892,69,44,1,126,126,42,42,1,95.5%,4.5%
Management Information Systems,5,1026,205,342,68,13,5,312,62,104,21,6,76.7%,23.3%
Marketing,8,2074,259,692,87,25,4,408,102,136,34,5,83.6%,16.4%
TOTAL (Business),48,10551,220,3519,73,144,22,2157,98,719,33,29,83.0%,17.0%
Counselor Education & Family Therapy,8,960,120,320,40,25,20,729,36,240,12,24,56.8%,43.2%
"Educational Leadership, Policy & Instructional Tech.",12,1222,102,416,35,33,18,1105,61,542,30,36,52.5%,47.5%
