School/Department,FT Faculty Headcount,FT Student Credit Hr,FT Credit Hr/Faculty,FT Student Headcount,FT Student Headcount/Faculty,FT Sections Taught,PT Faculty Headcount,PT Student Credit Hr,PT Credit Hr/Faculty,PT Student Headcount,PT Student Headcount/Faculty,PT Sections Taught,% Credit Hr by FT Faculty,% Credit Hr by PT Faculty
Anthropology,5,1811,362,617,123,20,3,384,128,128,43,3,82.5%,17.5%
Art,11,1640,149,543,49,66,17,1203,71,401,24,31,57.7%,42.3%
Communication,13,3076,237,1016,78,52,10,1416,142,472,47,17,68.5%,31.5%
Criminology & Criminal Justice,15,3134,209,1043,70,55,12,971,81,324,27,13,76.4%,23.6%
Design (Graphic Information),5,765,153,255,51,22,2,183,92,61,31,3,80.7%,19.3%
Economics,7,2780,397,927,132,26,2,388,194,129,65,3,87.7%,12.3%
English,29,5635,194,1910,66,105,38,3922,103,1307,34,91,59.0%,41.0%
Geography,9,2125,236,691,77,46,7,879,126,293,42,10,70.7%,29.3%
History,18,3434,191,1131,63,74,19,3134,165,1042,55,32,52.3%,47.7%
Journalism,6,596,99,196,33,21,1,186,186,62,62,3,76.2%,23.8%
Modern Languages,10,1600,160,524,52,46,15,1630,109,543,36,23,49.5%,50.5%
Music,9,1003,111,509,57,49,25,1120,45,472,19,61,47.3%,52.7%
Philosophy,7,1613,230,534,76,28,7,872,125,291,42,9,64.9%,35.1%
Political Science,7,1613,230,541,77,32,6,573,96,191,32,7,73.8%,26.2%
Psychological Science,19,6355,334,2135,112,91,16,2476,155,858,54,25,72.0%,28.0%
Sociology,10,2405,241,773,77,40,4,812,203,271,68,8,74.8%,25.2%
Theatre,6,821,137,381,64,40,3,669,223,223,74,4,55.1%,44.9%
TOTAL (CLAS),197,43206,219,14618,74,833,209,20188,97,6836,33,364,68.2%,31.8%
Accounting,14,3327,238,1103,79,44,8,1215,152,405,51,13,73.3%,26.7%
Finance,9,2131,237,703,78,29,5,787,157,263,53,8,73.0%,27.0%
