School/Department,FT Faculty Headcount,FT Student Credit Hr,FT Credit Hr/Faculty,FT Student Headcount,FT Student Headcount/Faculty,FT Sections Taught,PT Faculty Headcount,PT Student Credit Hr,PT Credit Hr/Faculty,PT Student Headcount,PT Student Headcount/Faculty,PT Sections Taught,% Credit Hr by FT Faculty,% Credit Hr by PT Faculty
Art & Design,14,1991,142,664,47,54,22,1364,62,472,21,35,59.3%,40.7%
Communication,8,1583,198,473,59,32,13,1710,132,551,42,23,48.1%,51.9%
Criminology & Criminal Justice,14,2863,205,894,64,45,13,1107,85,361,28,14,72.1%,27.9%
Economics,8,2316,290,774,97,32,2,459,230,153,77,5,83.5%,16.5%
English,25,4460,178,1533,61,98,34,3322,98,1159,34,74,57.3%,42.7%
"Geography, Anthropology, & Tourism",11,2150,195,730,66,49,8,1185,148,395,49,11,64.5%,35.5%
History,13,3080,237,1023,79,49,8,725,91,235,29,14,80.9%,19.1%
Journalism,4,376,94,132,33,16,0,0,,0,,0,100.0%,0.0%
Music,7,725,104,355,51,30,27,1021,38,426,16,54,41.5%,58.5%
Philosophy,6,1094,182,372,62,20,6,1418,236,471,79,16,43.6%,56.4%
Political Science,7,1467,210,488,70,31,4,363,91,121,30,4,80.2%,19.8%
Psychological Science,19,4875,257,1612,85,78,12,1556,130,534,45,18,75.8%,24.2%
Sociology,8,1844,231,548,69,22,8,1130,141,361,45,13,62.0%,38.0%
Theatre,6,467,78,191,32,24,2,123,62,43,22,4,79.2%,20.8%
"World Languages, Literatures & Cultures",7,1025,146,342,49,30,12,921,77,301,25,19,52.7%,47.3%
TOTAL (CLAS),157,30316,193,10131,65,610,171,16404,96,5583,33,304,64.9%,35.1%
Accounting,11,2501,227,834,76,36,2,201,101,67,34,2,92.6%,7.4%
Finance,9,2058,229,687,76,26,9,1440,160,480,53,14,58.8%,41.2%
Management & Organization,10,2311,231,771,77,38,2,285,143,95,48,3,89.0%,11.0%
Management Information Systems,5,1149,230,383,77,18,4,339,85,113,28,4,77.2%,22.8%
Marketing,9,2073,230,691,77,26,5,723,145,241,48,8,74.1%,25.9%
TOTAL (Business),44,10092,229,3366,77,144,22,2988,136,996,45,31,77.2%,22.8%
Counselor Education & Family Therapy,9,930,103,297,33,27,12,500,42,173,14,17,65.1%,34.9%
Curriculum & Instruction,3,590,197,188,63,16,0,500,,172,,12,54.1%,45.9%
Educational Leadership & Instructional Technology,9,674,75,257,29,26,20,856,43,434,22,35,44.0%,56.0%
"Literacy, Elementary & Early Childhood Education",7,1139,163,394,56,25,16,618,39,172,11,23,64.8%,35.2%
Nursing,11,1694,154,564,51,30,32,308,10,372,12,39,84.6%,15.4%
Physical Education & Human Performance,15,2398,160,892,59,68,22,1163,53,594,27,48,67.3%,32.7%
Social Work,7,813,116,271,39,20,3,126,42,42,14,3,86.6%,13.4%
Special Education & Interventions,6,847,141,289,48,22,10,213,21,65,7,11,79.9%,20.1%
TOTAL (Ed & Prof. Studies),67,9084,136,3152,47,234,115,4284,37,2024,18,188,68.0%,32.0%
Biology,19,2954,155,1041,55,60,24,811,34,532,22,22,78.5%,21.5%
Biomolecular Sciences,9,1205,134,498,55,26,4,241,60,119,30,7,83.3%,16.7%
Chemistry & Biochemistry,11,1969,179,762,69,36,5,174,35,174,35,10,91.9%,8.1%
Computer Electronics & Graphics Technology,7,834,119,278,40,27,13,1234,95,431,33,25,40.3%,59.7%
Computer Science,10,2277,228,761,76,47,6,612,102,204,34,10,78.8%,21.2%
Earth & Space Sciences,5,907,181,303,61,18,5,546,109,265,53,11,62.4%,37.6%
Engineering,16,2439,152,903,56,67,20,1542,77,578,29,33,61.3%,38.7%
Manufacturing & Construction Management,14,2096,150,685,49,51,14,997,71,345,25,21,67.8%,32.2%
Mathematical Sciences,25,4473,179,1303,52,88,41,5475,134,1788,44,74,45.0%,55.0%
Physics & Engineering Physics,5,627,125,230,46,18,14,485,35,366,26,21,56.4%,43.6%
Technology & Engineering Education,4,338,85,122,31,17,5,246,49,78,16,10,57.9%,42.1%
"TOTAL (Eng, Sci & Tech)",125,20118,161,6886,55,455,151,12363,82,4880,32,244,61.9%,38.1%
No School TOTAL,0,0,,0,,0,2,93,47,69,35,15,0.0%,100.0%
UNIVERSITY TOTAL,393,69610,177,23535,60,1443,461,36131,78,13552,29,782,65.8%,34.2%
,,,,,,,,,,,,,,
,"Overview:
The Spring 2024 Excel file presents Central Connecticut State University’s Faculty & Student Credit Hour, Student Headcount Report. It details teaching loads, course sections, student enrollment, and credit hours across departments, broken down between full-time (FT) and part-time (PT) faculty. The report also includes the percentage of credit hours taught by each group, highlighting differences in instructional responsibility.

Abbreviations Explained:

FT = Full-Time (faculty employed full-time)

PT = Part-Time (faculty employed part-time)

Faculty Headcount = Number of faculty teaching courses

Student Credit Hr = Total student credit hours taught (measure of workload)

Credit Hr/Faculty = Average credit hours per faculty member

Student Headcount = Total number of students taught in faculty courses

Student Headcount/Faculty = Average number of students per faculty member

Sections Taught = Number of course sections delivered

% Credit Hr by FT Faculty / PT Faculty = Share of total credit hours taught by full-time vs. part-time faculty",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
