School/Department,FT Faculty Headcount,FT Student Credit Hr,FT Credit Hr/Faculty,FT Student Headcount,FT Student Headcount/Faculty,FT Sections Taught,PT Faculty Headcount,PT Student Credit Hr,PT Credit Hr/Faculty,PT Student Headcount,PT Student Headcount/Faculty,PT Sections Taught,% Credit Hr by FT Faculty,% Credit Hr by PT Faculty
Anthropology,3,796,265,277,92,11,3,333,111,111,37,4,70.5%,29.5%
Art & Design,12,1809,151,603,50,46,18,1119,62,383,21,28,61.8%,38.2%
Communication,9,1963,218,566,63,35,12,1908,159,613,51,24,50.7%,49.3%
Criminology & Criminal Justice,14,2635,188,820,59,40,11,896,81,295,27,12,74.6%,25.4%
Economics,7,1922,275,639,91,26,1,228,228,76,76,2,89.4%,10.6%
English,23,4151,180,1366,59,84,31,3388,109,1168,38,66,55.1%,44.9%
Geography,7,1488,213,496,71,31,1,240,240,80,80,2,86.1%,13.9%
History,12,3226,269,1073,89,46,8,188,24,46,6,7,94.5%,5.5%
Journalism,4,392,98,130,33,16,1,33,33,11,11,1,92.2%,7.8%
Music,6,721,120,296,49,24,22,697,32,299,14,48,50.8%,49.2%
Philosophy,4,946,237,313,78,12,7,1495,214,498,71,16,38.8%,61.2%
Political Science,7,1460,209,486,69,33,3,258,86,86,29,3,85.0%,15.0%
Psychological Science,18,4564,254,1504,84,82,12,1500,125,509,42,19,75.3%,24.7%
Sociology,8,2123,265,635,79,28,6,729,122,237,40,8,74.4%,25.6%
Theatre,5,288,58,127,25,25,4,395,99,133,33,10,42.2%,57.8%
"World Languages, Literatures & Cultures",7,798,114,272,39,29,13,1104,85,357,27,23,42.0%,58.0%
TOTAL (CLAS),146,29282,201,9603,66,568,153,14511,95,4902,32,273,66.9%,33.1%
Accounting,11,2601,236,867,79,35,1,114,114,38,38,1,95.8%,4.2%
Finance,7,1571,224,524,75,19,11,1536,140,512,47,17,50.6%,49.4%
Management & Organization,12,2501,208,834,70,41,1,195,195,65,65,2,92.8%,7.2%
Management Information Systems,5,1170,234,390,78,14,3,297,99,99,33,3,79.8%,20.2%
Marketing,8,2070,259,690,86,23,5,566,113,189,38,8,78.5%,21.5%
TOTAL (Business),43,9913,231,3305,77,132,21,2708,129,903,43,31,78.5%,21.5%
Counselor Education & Family Therapy,9,915,102,296,33,29,12,404,34,141,12,17,69.4%,30.6%
Curriculum & Instruction,3,421,140,129,43,10,5,267,53,87,17,7,61.2%,38.8%
Educational Leadership & Instructional Technology,8,710,89,260,33,23,19,1054,55,528,28,33,40.2%,59.8%
"Literacy, Elementary & Early Childhood Education",10,1447,145,507,51,35,14,650,46,176,13,21,69.0%,31.0%
Nursing,8,1904,238,580,73,29,30,44,1,303,10,34,97.7%,2.3%
Physical Edu. & Human Performance,15,2263,151,845,56,66,20,1394,70,681,34,43,61.9%,38.1%
Social Work,4,627,157,209,52,15,6,312,52,104,17,8,66.8%,33.2%
Special Education & Interventions,5,794,159,276,55,21,9,393,44,119,13,20,66.9%,33.1%
TOTAL (Ed & Prof. Studies),62,9081,146,3102,50,228,115,4518,39,2139,19,183,66.8%,33.2%
Biology,18,2668,148,949,53,61,20,754,38,505,25,25,78.0%,22.0%
Biomolecular Sciences,7,1020,146,417,60,22,5,239,48,133,27,8,81.0%,19.0%
Chemistry & Biochemistry,9,1646,183,651,72,40,6,342,57,244,41,13,82.8%,17.2%
Computer Electronics & Graphics Technology,9,966,107,322,36,27,11,1060,96,371,34,23,47.7%,52.3%
Computer Science,9,2243,249,749,83,42,3,411,137,137,46,6,84.5%,15.5%
Engineering,17,2524,148,926,54,72,21,1457,69,559,27,33,63.4%,36.6%
Earth & Space Sciences,6,1067,178,358,60,22,5,326,65,172,34,9,76.6%,23.4%
