School/Department,FT Faculty Headcount,FT Student Credit Hr,FT Credit Hr/Faculty,FT Student Headcount,FT Student Headcount/Faculty,FT Sections Taught,PT Faculty Headcount,PT Student Credit Hr,PT Credit Hr/Faculty,PT Student Headcount,PT Student Headcount/Faculty,PT Sections Taught,% Credit Hr by FT Faculty,% Credit Hr by PT Faculty
Anthropology,5,1754,351,585,117,22,3,237,79,79,26,3,88.1%,11.9%
Art,12,1839,153,609,51,77,15,932,62,324,22,25,66.4%,33.6%
Communication,12,3257,271,1087,91,54,9,1263,140,421,47,17,72.1%,27.9%
Criminology & Criminal Justice,14,2859,204,944,67,50,12,954,80,318,27,12,75.0%,25.0%
Design (Graphic Information),5,807,161,269,54,23,2,150,75,50,25,3,84.3%,15.7%
Economics,7,2398,343,800,114,26,2,324,162,108,54,4,88.1%,11.9%
English,29,5559,192,1845,64,113,35,3703,106,1257,36,75,60.0%,40.0%
Geography,11,2199,200,734,67,57,8,987,123,329,41,10,69.0%,31.0%
History,17,2941,173,960,56,69,20,2894,145,954,48,38,50.4%,49.6%
Journalism,5,676,135,234,47,19,1,33,33,11,11,1,95.3%,4.7%
Modern Languages,10,1372,137,436,44,42,19,1797,95,598,31,31,43.3%,56.7%
Music,8,898,112,453,57,54,25,1028,41,433,17,68,46.6%,53.4%
Philosophy,7,1589,227,553,79,26,8,936,117,312,39,10,62.9%,37.1%
Political Science,6,1471,245,474,79,27,3,285,95,95,32,3,83.8%,16.2%
Psychological Science,19,6449,339,2130,112,104,17,2445,144,854,50,26,72.5%,27.5%
Sociology,8,1832,229,572,72,32,4,816,204,272,68,8,69.2%,30.8%
Theatre,6,717,120,323,54,37,2,621,311,211,106,3,53.6%,46.4%
TOTALS (CLAS),181,38617,213,13008,72,832,185,19405,105,6626,36,337,66.6%,33.4%
Accounting,14,2977,213,993,71,48,8,915,114,305,38,11,76.5%,23.5%
Finance,10,1743,174,581,58,27,7,729,104,243,35,9,70.5%,29.5%
Management & Organization,11,2668,243,891,81,42,5,309,62,103,21,5,89.6%,10.4%
Management Information Systems,8,1642,205,548,69,22,7,867,124,289,41,10,65.4%,34.6%
Marketing,7,1974,282,658,94,25,4,423,106,141,35,5,82.4%,17.6%
TOTALS (Business),50,11004,220,3671,73,164,31,3243,105,1081,35,40,77.2%,22.8%
